jahr;bfs_nr_gemeinde;gemeindename;kultur_code;kultur_bezeichnung;landw_nutzflaeche_in_aren;anzahl_baeume
2024;4486;Hauptwil-Gottshaus;0705;Mehrjährige Beeren;140.69;
2023;4666;Kemmental;0516;Dinkel;391.88;
2024;4486;Hauptwil-Gottshaus;0709;Rhabarber;34.74;
2023;4666;Kemmental;0521;Silo- und Grünmais;16643.67;
2024;4486;Hauptwil-Gottshaus;0814;"Beerenkulturen in geschütztem Anbau ohne festes Fundament; auf Pflanztischen oder -gestellen";17.06;
2023;4666;Kemmental;0524;Kartoffeln;3274.02;
2024;4486;Hauptwil-Gottshaus;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);159.25;
2023;4666;Kemmental;0536;Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen);544.12;
2024;4486;Hauptwil-Gottshaus;0907;Unbefestigte, natürliche Wege;;
2023;4666;Kemmental;0545;Einjährige Freilandgemüse, ohne Konservengemüse;4561.25;
2024;4486;Hauptwil-Gottshaus;0922;Nussbäume;;681
2023;4666;Kemmental;0546;Freiland-Konservengemüse;1787.91;
2024;4486;Hauptwil-Gottshaus;0923;Edelkastanienbäume;;21
2023;4666;Kemmental;0556;Buntbrache;257.1;
2024;4495;Hohentannen;0508;Körnermais;759.94;
2023;4666;Kemmental;0557;Rotationsbrache;179.89;
2024;4495;Hohentannen;0512;Sommerweizen (ohne Futterweizen der Sortenliste swiss granum);879.92;
2023;4666;Kemmental;0611;Extensiv genutzte Wiesen (ohne Weiden);10658.05;
2024;4495;Hohentannen;0513;Winterweizen (ohne Futterweizen der Sortenliste swiss granum);2159.08;
2023;4666;Kemmental;0617;Extensiv genutzte Weiden;248.58;
2024;4495;Hohentannen;0522;Zuckerrüben;295.04;
2023;4666;Kemmental;0631;Futterleguminosen für die Samenproduktion (Vertragsanbau);480.08;
2024;4495;Hohentannen;0534;Lein;247.17;
2023;4666;Kemmental;0702;Obstanlagen (Äpfel);3053.31;
2024;4495;Hohentannen;0546;Freiland-Konservengemüse;312.09;
2023;4666;Kemmental;0714;Ziersträucher, Ziergehölze,  und Zierstauden;5.79;
2024;4495;Hohentannen;0559;Saum auf Ackerfläche;10.78;
2023;4666;Kemmental;0723;Baumschule von Obst und Beeren;864.92;
2024;4495;Hohentannen;0612;Wenig intensiv gen. Wiesen (ohne Weiden);185.22;
2023;4666;Kemmental;0724;Übrige Baumschulen (Rosen, Zierstauden, usw.);62.7;
2024;4495;Hohentannen;0617;Extensiv genutzte Weiden;243.64;
2023;4666;Kemmental;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);51.29;
2024;4495;Hohentannen;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;603.46;
2023;4666;Kemmental;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;440.81;
2024;4495;Hohentannen;0713;Baumschule von Forstpflanzen ausserhalb der Forstzone;7.67;
2023;4666;Kemmental;0921;Hochstammfeldobstbäume;;5659
2024;4495;Hohentannen;0731;Andere Obstanlagen (Kiwi, Holunder, usw.);130.94;
2023;4666;Kemmental;0922;Nussbäume;;192
2024;4495;Hohentannen;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;222.83;
2023;4666;Kemmental;0923;Edelkastanienbäume;;2
2024;4495;Hohentannen;0902;übrige Unproduktive Flächen (z.B. gemulchte Flächen, stark verunkraute Flächen, Hecke ohne Pufferstreifen;;
2023;4671;Kreuzlingen;0508;Körnermais;937.47;
2024;4495;Hohentannen;0907;Unbefestigte, natürliche Wege;;
2023;4671;Kreuzlingen;0522;Zuckerrüben;720.2;
2024;4495;Hohentannen;0923;Edelkastanienbäume;;8
2023;4671;Kreuzlingen;0556;Buntbrache;627.17;
2024;4495;Hohentannen;0924;Einheimische standortgerechte Einzelbäume und Alleen;;128
2023;4671;Kreuzlingen;0572;Nützlingsstreifen einjährig;18.23;
2024;4495;Hohentannen;0998;Übrige Flächen ausserhalb der LN;;
2023;4671;Kreuzlingen;0602;Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide);13.27;
2024;4501;Kradolf-Schönenberg;0516;Dinkel;127.8;
2023;4671;Kreuzlingen;0611;Extensiv genutzte Wiesen (ohne Weiden);3062.64;
2024;4501;Kradolf-Schönenberg;0521;Silo- und Grünmais;4660.29;
2023;4671;Kreuzlingen;0613;Übrige Dauerwiesen (ohne Weiden);3810.3;
2024;4501;Kradolf-Schönenberg;0522;Zuckerrüben;1218.65;
2023;4671;Kreuzlingen;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;47.14;
2024;4501;Kradolf-Schönenberg;0523;Futterrüben;89.11;
2023;4671;Kreuzlingen;0717;Rebflächen mit natürlicher Artenvielfalt;68.8;
2024;4501;Kradolf-Schönenberg;0524;Kartoffeln;781.57;
2023;4671;Kreuzlingen;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;122.76;
2024;4501;Kradolf-Schönenberg;0545;Einjährige Freilandgemüse, ohne Konservengemüse;1320.11;
2023;4671;Kreuzlingen;0921;Hochstammfeldobstbäume;;700
2024;4501;Kradolf-Schönenberg;0556;Buntbrache;354.22;
2023;4671;Kreuzlingen;0924;Einheimische standortgerechte Einzelbäume und Alleen;;117
